ID,ID_SENTENCE,ORI_SENTENCE,PAPER,JOURNAL,MOVE,STEP,CLASSIFIED_BY,LABEL
1,1,"Over time, interface structure is likely to deteriorate.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
2,2,"This might result in fat interfaces with huge numbers of definitions that are not functionally coherent, and which have many different source files (“users”) depending on them.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
3,3,Especially in the case of large software systems this negatively affects build performance and maintainability.,10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
4,4,"In the C programming language, for instance, a source file can use an interface definition by including a complete header file.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
5,5,"As a result, for every change to a single definition in that header file, all source files that use one or more of its definitions need to be recompiled.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
6,6,"As an example, at ASML, a company developing manufacturing machines for the production of microchips, over the course of years build time has increased such that it sometimes affects the development speed of its control software.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
7,7,"Recompilation after interface changes can run into hours, leading to loss of productivity of the development team.",10.1109-ase.2008.54,ase,Establishing the territory,Establishing the importance of the topic as a problem to be addressed,LETRA_PRODIGY,M1-S03
11,11,"Hierarchical clustering aims at putting together entities (interface definitions) that are similar (in terms of their users) in the same cluster (interface), while entities in different clusters are less similar.",10.1109-ase.2008.54,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
12,12,"We are interested in the limits and opportunities of the use of cluster analysis for interface refactoring, and the practical difficulties one encounters in doing so.",10.1109-ase.2008.54,ase,Establishing a niche,"Identifying and highlighting inadequacies, weaknesses, controversies and negative outcomes within the field of study",LETRA_PRODIGY,M2-S05
13,13,"Therefore, we describe in this paper the application of cluster analysis to refactor the interfaces of a complex industrial embedded software system comprising millions of lines of C code.",10.1109-ase.2008.54,ase,Occupying the niche,"Stating the focus, aim, purpose or argument of the current research",LETRA_PRODIGY,M3-S07
14,14,"To that end, we have developed an interactive tool called Interface Regroup Wizard (IRW), which supports a software architect in refactoring the interfaces of C software components.",10.1109-ase.2008.54,ase,Occupying the niche,Describing the research design and the methods used,LETRA_PRODIGY,M3-S09
15,15,"In this paper, we explore three questions:",10.1109-ase.2008.54,ase,Occupying the niche,Setting out the research questions or hypotheses,LETRA_PRODIGY,M3-S08
16,16,(1) Can an automatic approach such as cluster analysis be applied to improve the design of interfaces?,10.1109-ase.2008.54,ase,Occupying the niche,Setting out the research questions or hypotheses,LETRA_PRODIGY,M3-S08
17,17,"(2) What are the limits of automation for the refactoring of interfaces, that is, to what extent can the this be done automatically?",10.1109-ase.2008.54,ase,Occupying the niche,Setting out the research questions or hypotheses,LETRA_PRODIGY,M3-S08
